32 28 34 20 62 36 29 68 15 82 86 21 3 47 81 52 1 72 67 88 37 45 74 57 25 80 84 69 50 6 4 40 24 61 35 53 42 59 63 16 30 23 87 14 78 73 8 18 51 5 91 48 89 49 70 22 33 46 90 10 58 54 55 60 38 2 9 17 92 64 27 12 31 11 56 0 26 13 71 43 85 66 19 65 77 79 39 83 75 44 41 76 7 
61 66 53 29 77 91 22 70 18 47 26 58 31 23 25 44 39 85 60 24 80 30 16 73 67 37 15 7 0 8 6 41 9 71 86 78 56 65 27 20 2 62 45 38 28 69 74 36 42 55 49 72 21 50 68 34 92 54 10 83 51 32 35 46 33 90 84 63 59 76 57 19 11 17 52 12 79 5 81 14 82 64 43 48 87 75 40 4 89 88 13 1 3 
67 24 89 90 47 69 83 51 28 63 58 88 10 54 86 52 62 44 70 76 79 15 12 84 64 21 39 68 80 71 5 85 27 60 9 13 18 11 43 82 45 35 4 38 7 57 66 31 6 73 25 42 30 49 92 16 61 87 91 19 55 20 46 17 2 8 78 0 81 26 14 34 29 36 53 41 40 65 74 72 23 37 32 56 50 75 1 22 3 48 77 59 33 
22 4 68 84 59 75 61 79 52 57 77 53 76 90 28 20 37 83 41 78 87 18 6 91 71 43 65 7 15 8 62 85 58 92 44 0 47 86 35 21 30 63 49 1 80 16 70 88 14 5 60 42 54 34 31 46 19 40 25 50 48 45 9 26 56 17 27 81 67 2 11 64 51 69 29 13 89 36 66 23 73 33 32 10 72 82 39 3 38 74 24 12 55 
22 4 68 84 59 62 61 87 52 81 82 13 11 77 23 42 65 72 10 14 79 39 51 28 8 86 88 92 70 60 75 44 55 7 56 30 37 26 35 21 0 63 49 54 83 58 71 47 78 5 12 20 1 34 31 46 19 40 25 50 48 45 9 43 85 17 27 57 67 2 76 64 6 69 29 53 89 36 66 91 73 33 32 41 80 90 18 3 15 38 74 24 16 
51 26 55 82 53 39 9 18 79 20 5 17 50 86 47 12 54 1 81 24 32 83 59 21 35 70 42 25 69 37 46 0 36 88 60 87 30 68 65 90 11 27 58 33 56 16 84 91 44 40 19 77 78 34 38 4 45 62 6 64 74 28 14 22 71 8 61 85 13 2 89 3 31 49 7 48 73 43 66 67 23 76 92 63 57 52 41 29 72 80 75 10 15 
17 34 31 65 30 14 49 83 3 57 4 48 92 85 84 88 44 79 72 39 53 28 15 20 51 54 90 27 16 5 58 7 81 24 40 76 68 13 64 35 43 23 63 37 59 42 52 74 87 70 55 26 91 77 22 18 41 71 60 46 50 0 8 38 78 11 12 2 89 6 10 9 56 75 86 19 32 21 33 36 80 66 47 25 45 82 69 61 29 67 62 1 73 
2 69 27 59 50 64 48 91 89 81 82 13 11 77 23 40 15 72 10 45 79 39 51 28 8 43 7 92 71 12 75 44 55 65 56 30 37 26 35 21 0 63 49 1 80 16 70 88 14 5 60 42 54 34 78 83 73 76 4 31 29 90 47 36 32 41 25 19 53 86 85 68 67 84 58 46 24 20 57 22 61 52 33 17 62 74 9 18 6 3 87 66 38 
19 34 31 65 30 14 49 83 3 57 4 48 92 85 84 88 2 79 72 39 53 28 15 76 51 33 90 27 16 5 21 86 81 89 35 20 40 23 13 68 63 17 43 37 59 42 52 74 87 70 55 26 91 77 22 18 41 71 60 46 50 0 8 6 78 11 12 44 24 38 25 73 62 32 7 64 56 58 54 66 80 36 47 10 45 82 69 61 29 67 75 1 9 
81 26 40 13 65 53 1 22 78 75 16 2 79 63 86 60 64 61 87 21 90 89 39 47 82 15 70 68 48 17 38 7 88 73 33 11 54 9 91 74 18 41 77 46 19 0 5 84 50 3 69 49 66 72 52 8 23 83 35 24 45 31 71 37 62 58 42 6 27 30 55 34 32 57 67 28 44 56 80 36 20 12 43 10 4 76 51 14 29 25 59 92 85 
74 40 23 18 38 77 7 89 20 52 5 59 30 15 44 31 72 76 4 51 80 90 42 33 11 22 9 87 2 73 68 64 14 0 82 24 58 83 34 32 54 60 70 67 57 35 45 88 62 19 27 6 3 16 78 21 65 86 39 47 50 1 81 55 56 41 37 46 53 8 10 28 66 91 79 71 85 61 29 17 84 36 26 48 49 25 69 63 12 92 43 75 13 
84 34 55 24 32 81 13 68 4 41 2 36 8 49 67 20 45 31 26 33 27 35 76 14 38 5 51 3 53 29 87 19 90 21 62 28 0 40 64 16 85 88 79 54 83 58 12 7 72 22 74 82 10 30 78 92 42 65 75 9 59 52 47 60 50 48 25 77 70 43 63 91 44 37 73 46 56 15 57 86 61 39 23 17 80 71 89 18 6 1 69 66 11 
